image_reference,image_id,errs_trans,errs_angle,pixel_dist 
001199, 0,4.864552781361182,1.850252353092930,1.516481161117554
001198, 1,8.937068850898696,4.238566817033764,2.994119405746460
001195, 2,3.244929226991179,3.672246667352753,3.043424367904663
001193, 3,9.100195407526593,3.652892916847938,3.580284595489502
001191, 4,9.475346260595494,1.101703689777830,1.267437696456909
001190, 5,9.711622155438086,6.490264406693677,3.932692050933838
001188, 6,13.624254230209209,6.042807979241624,3.990190982818604
001186, 7,4.917303635993935,3.556504470540322,3.221610546112061
001185, 8,11.203222542687532,6.480470466108283,3.738704204559326
001183, 9,13.624715439343209,6.069947371253034,4.994084835052490
001182, 10,9.655673005682271,3.329649124813303,4.189003467559814
001180, 11,12.702301426004331,2.893004745527201,2.689403772354126
001178, 12,7.125206815599590,7.771074569039634,5.168691635131836
001177, 13,5.906997397792101,10.404968387959082,7.296068191528320
001176, 14,68.378295649563313,8.621750516500034,6.251034736633301
001174, 15,33.578528486655458,9.724927095064363,8.497549057006836
001173, 16,40.324442771816628,0.990049392284147,2.183614969253540
001171, 17,3.446884133581994,4.206464443875798,2.992528915405273
001170, 18,11.564069254623453,5.806636366440404,3.334569454193115
001168, 19,8.136615739486725,8.493965181481109,4.123993873596191
001166, 20,18.023918040024796,2.543379519776955,2.091701030731201
001165, 21,2.539789216978538,2.712558640713983,2.019060850143433
001163, 22,12.358812023966170,2.106992232481955,1.936439871788025
001162, 23,0.626371827272607,2.202444244831661,1.066977262496948
001160, 24,15.310521235146267,3.201959800115849,2.008267164230347
001159, 25,12.650208759276003,2.869213170733562,2.063682794570923
001157, 26,22.822989565755634,4.733371717281511,2.853933095932007
001156, 27,31.878581878781542,9.080614253311849,4.358495712280273
001155, 28,11.611085159818636,5.511074055625619,2.912683725357056
001152, 29,10.818599358921666,6.979685110825724,3.336387395858765
001151, 30,6.395445901972887,6.787410303086745,2.978530168533325
001149, 31,7.740679059362615,5.064730423996160,2.387827873229980
001147, 32,22.189019918570125,2.812093809737548,2.334670782089233
001146, 33,4.371364609301717,1.440295914181362,1.028997302055359
001144, 34,7.884147634192970,12.848466356675672,6.247169494628906
001143, 35,7.038726775882904,28.302113249251875,15.200638771057129
001142, 36,19.427969307457140,25.588083001480818,14.646293640136719
001141, 37,18.095245675045096,3.369603955079077,1.649212956428528
001140, 38,1.622389144312898,4.454705664145851,1.859901428222656
001138, 39,8.984460067171273,4.626288345220675,2.443620204925537
001136, 40,44.311161087698594,9.084820474200999,4.878165721893311
001135, 41,24.170400726998782,4.254692502001560,3.657742977142334
001134, 42,3.687926700124899,3.686315430358080,2.293261528015137
001132, 43,20.673515485322593,6.606056393145130,3.230149745941162
001131, 44,9.849742056601896,3.560154895592529,4.280697822570801
001129, 45,34.519008347985981,11.132823819958007,4.011548995971680
001128, 46,31.555595202735567,9.691706934835997,4.308141708374023
001126, 47,28.175869751891970,8.591465193290679,3.173036336898804
001124, 48,7.741201670155828,3.350027765761681,2.168900489807129
001123, 49,5.510506317127850,3.214656029281616,2.363849639892578
001121, 50,28.981909522610689,6.419789003295608,2.818268537521362
001120, 51,3.959424420046160,2.185501714523701,1.672629714012146
001118, 52,3.352242431884267,1.884712743978236,1.211475610733032
001116, 53,9.035912523885875,2.503824583625007,3.809375762939453
001114, 54,28.054166765991187,2.952071557094733,1.723512172698975
001113, 55,10.747520261118588,3.423934594200240,3.290886640548706
001112, 56,10.829884598016861,1.396984223185755,1.755730748176575
001110, 57,20.114348056356807,6.561123371853974,3.582177877426147
001109, 58,11.035789699221040,6.038528684644582,3.034358024597168
001107, 59,11.921399016449524,1.815685769083238,2.157213687896729
001106, 60,22.309551243613711,3.384683854811681,2.483546972274780
001105, 61,6.411793062472345,0.574052056454680,1.483910799026489
001103, 62,45.880124298786853,0.842624438535680,1.312424540519714
001101, 63,3.000978662263439,4.347492671332347,2.035202026367188
001100, 64,21.971716297668586,4.894555988394350,2.166054248809814
001098, 65,4.004338096899436,6.614756286684392,3.181665420532227
001097, 66,2.684609367710403,6.138879613324903,2.290657997131348
001096, 67,12.139489838964726,2.034473223582176,2.076667308807373
001094, 68,13.051778056940430,2.819170164953976,1.411859631538391
001091, 69,65.102307829735665,19.819128637706161,8.116488456726074
